"CONTACT","CONTPHONE","CONTRACT","DIMENSIONS","DOL_NUM","EVENTPRO_LOT","FEATURETYPE","INSPECTS","LOC_NAME","LOT_LOC","MAP_PAGE","NAMELABEL","OBJECTID","ORIG_FID","PRODUCT","SUB","TICKETS","URL","VENDORTYPE","y","x"
"","","","","","","Buildings","","","",""," ",658,701,"","","","","",35.795636,-78.716673
"","","","","","","Buildings","","","",""," ",659,702,"","","","","",35.79582,-78.714785
"","","Garden Show","","","","Buildings","","","","","Garden Show",660,703,"","","","","",35.795729,-78.714706
"","","","","","","Buildings","","","",""," ",661,704,"","","","","",35.795967,-78.707438
"","","","","","","Buildings","","","",""," ",662,705,"","","","","",35.79596,-78.714848
"","","","","","","Buildings","","","",""," ",663,706,"","","","","",35.795999,-78.707514
"","","","","","","Buildings","","","",""," ",664,707,"","","","","",35.796155,-78.714933
"","","","","","","Buildings","","","","","Holshouser",665,708,"","","","","",35.795993,-78.71398
"","","","","","","Buildings","","","",""," ",666,709,"","","","","",35.796169,-78.714816
"","","","","","","Buildings","","","",""," ",667,711,"","","","","",35.796179,-78.713369
"","","","12 X 8","","","Buildings","","","","","",668,712,"","","","","",35.796618,-78.714853
"","","","","","","Buildings","","","","","",669,713,"","","","","",35.79635,-78.716828
"","","","","","","Buildings","","","","","",670,714,"","","","","",35.796401,-78.716483
"","","","","","","Buildings","","","","","Church",671,715,"","","","","",35.796425,-78.714168
"","","","","","","Buildings","","","",""," ",672,716,"","","","","",35.796458,-78.714691
"","","","","","","Buildings","","","",""," ",673,717,"","","","","",35.796363,-78.707692
"","","","","","","Buildings","","","","","",674,718,"","","","","",35.796493,-78.716811
"","","","","","","Buildings","","","","","Kerr Scott",675,719,"","","","","",35.796215,-78.708152
"","","","","","","Buildings","","","","","Log Cabin",676,720,"","","","","",35.796555,-78.715087
"","","","","","","Buildings","","","","","School House",677,721,"","","","","",35.796647,-78.714754
"","","","","","","Buildings","","","","","",678,722,"","","","","",35.796644,-78.714934
"","","","","","","Buildings","","","","","Restroom",679,723,"","","","","",35.796748,-78.714405
"","","","","","","Buildings","","","",""," ",680,724,"","","","","",35.796929,-78.714678
"","","","","","","Buildings","","","","","Martin Building",681,725,"","","","","",35.797066,-78.711823
"","","","","","","Buildings","","","",""," ",682,726,"","","","","",35.797367,-78.711163
"","","","","","","Buildings","","","",""," ",683,727,"","","","","",35.79769,-78.713668
"","","","","","","Buildings","","","",""," ",684,728,"","","","","",35.793999,-78.709655
"","","","","","","Buildings","","","","","Dorton Arena",685,729,"","","","","",35.793978,-78.710395
"","","","","","","Buildings","","","","","Lunch Stands",700,744,"","","","","",35.795094,-78.710068
"","","","","","","Buildings","","","","","Gate 9 Ticket Booth",701,745,"","","","","",35.79746,-78.71111
"","","","","","","Buildings","","","","","Tobacco Pavilion",702,747,"","","","","",35.796187,-78.715628
"","","Our State Public House","","","","Vendor","OTHER","","","","Our State Public House",703,748,"Patrons Of The Our State Public House Will Be Able To Choose From Two Servings Of Wine, Cider, Or Beer. Wine Servings Are 3 Ounces Each, And Each Beer Or Cider Sample Will Be 8 Ounces. Tickets Cost $10 Each And Will Be Sold From Noon To 10 P.M. There Is A Limit Of One Ticket Per Person. Ids Will Be Checked At The Door, And No One Under 21 Will Be Admitted. ","","","","",35.795858,-78.715635
"","","Jimmy Danton","","","","Carnival Booth","WAKE","Midway","MW6","","Jimmy Danton",704,749,"Chicken Tenders, Chicken Wings, French Fries, Corn Dogs ","","","","Food",35.79575,-78.710311
"","","Carnival","","","","Carnival Booth","F&D","Midway","MW","","Amys Powers",705,750,"","","","","Food",35.795736,-78.710141
"","","Carnival","","","","Carnival Booth","F&D","Midway","MW","","Powers Ice Cream",706,751,"","","","","Candy",35.795765,-78.709995
"","","Carnival","","","","Carnival Booth","WAKE","Midway","MW7","","Jimmy Danton",707,752,"","","","","Food",35.795875,-78.710059
"","","Fried Dough","","","","Carnival Booth","F&D","Midway","MW","","Fried Dough",708,753,"Funnel Cakes, Corn Dogs ","","","","Food",35.795947,-78.710145
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",709,754,"","","","","Game",35.796414,-78.710432
"","","Heavenly Treats","","","","Carnival Booth","WAKE","Midway","MW5","","Susan Corl",710,755,"Corn Dog, Chicken On A Stick, Fries, Lemonade, Soda, Water, Ribbon Fries, Sauces, Cheese, Chili ","","","","Food",35.796647,-78.711479
"","","Midway Cafe","","","","Carnival Booth","WAKE","Midway","MW4","","Midway Cafe",711,756,"Sausage, Hot Dogs, Hamburgers, Philly Steak, Corn Dogs, French Fries, Lemonade ","","","","Food",35.796695,-78.711617
"","","Midway Cafe","","","","Carnival Booth","WAKE","Midway","MW3","","Midway Cafe",712,757,"Gyro, Chicken Pita, Steak Kabobs, Greek Salads, Rice, Lime Fizz, Lemonade ","","","","Food",35.796752,-78.711763
"","","Carnival","","","","Carnival Booth","F&D","Midway","MW","","Candy",713,758,"","","","","Game",35.796617,-78.712971
"","","Fried Dough","","","","Carnival Booth","F&D","Midway","MW","","Fried Dough",714,759,"Fried Dough","","","","Food",35.796554,-78.712945
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",715,760,"","","","","Game",35.79632,-78.712503
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Pitcher Game",716,761,"","","","","Game",35.796164,-78.71206
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Souvenirs",717,762,"","","","","Novelties",35.795978,-78.711918
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","West",718,763,"","","","","Game",35.796012,-78.711978
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","West",719,764,"","","","","Game",35.795956,-78.711871
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Souvenirs",720,765,"","","","","Novelties",35.795861,-78.71159
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Toy Town",721,766,"","","","","Game",35.795689,-78.711172
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Air Brush",722,767,"","","","","Novelties",35.795794,-78.711343
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Game",723,768,"","","","","Game",35.795342,-78.710672
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Game",724,769,"","","","","Game",35.795237,-78.710733
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Game",725,770,"","","","","Game",35.795116,-78.710825
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Game",726,771,"","","","","Game",35.795432,-78.710648
"","","J Danton","","","","Carnival Booth","WAKE","Midway East","MWE","","J Danton",727,772,"Corn And Turkey Legs ","","","","Food",35.795509,-78.709901
"","","Carnival","","","","Carnival Booth","WAKE","Old Midway","OM","","B&H A. Jimmy Danton",728,773,"","","","","Food",35.794707,-78.714163
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",729,774,"","","","","Game",35.796809,-78.711484
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",730,775,"","","","","Game",35.795899,-78.711657
"","","Carnival","","","","Carnival Booth","F&D","Kiddieland West"," ","","Unknown",731,776,"","","","","Candy",35.794451,-78.709648
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland West","KW","","Game",732,777,"","","","","Game",35.79473,-78.708958
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland West","KW","","Face Painting",733,778,"","","","","Novelties",35.794668,-78.709132
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Game",734,779,"","","","","Game",35.796567,-78.709076
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Game",735,780,"","","","","Game",35.796642,-78.709114
"","","Carnival","","","","Carnival Booth","OTHER","Scott South","SS","","Carnival",736,781,"","","","","Unknown",35.795915,-78.708893
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Game",737,782,"","","","","Game",35.796669,-78.709243
"","","Carnival","","","","Carnival Booth","WAKE","Midway East","MWE","","Wades Cotton Candy",738,783,"","","","","Candy",35.79561,-78.710077
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Sampson Horse",739,784,"","","","","Attraction",35.795309,-78.710408
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Toy Town",740,785,"","","","","Novelties",35.795939,-78.711811
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Spider Girl",741,786,"","","","","Attraction",35.795908,-78.711744
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",742,787,"","","","","Game",35.795804,-78.711434
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland East","KE","","Game",743,788,"","","","","Game",35.794824,-78.708739
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland East","KE","","Game",744,789,"","","","","Game",35.795111,-78.70839
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland West","KW","","Unknown",745,790,"","","","","Unknown",35.794894,-78.70903
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland East","KE","","Unknown",746,791,"","","","","Unknown",35.794873,-78.708643
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland East","KE","","Unknown",747,792,"","","","","Unknown",35.794919,-78.708538
"","","Lewis Harvell","","","","Carnival Booth","WAKE","Dorton  Triangle","DT1","","Lewis Harvell",748,793,"Corn And Turkey Legs ","","","","Food",35.794743,-78.711638
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland East","KE","","Unknown",749,794,"","","","","Unknown",35.795138,-78.708493
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Game",750,796,"","","","","Novelties",35.797056,-78.709671
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Game",751,797,"","","","","Game",35.797092,-78.710039
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Unknown",752,798,"","","","","Unknown",35.797011,-78.71016
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Unknown",753,799,"","","","","Unknown",35.796941,-78.710206
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Unknown",754,800,"","","","","Unknown",35.796877,-78.710233
"","","Carnival","","","","Carnival Booth","WAKE","Coleman Hill","CH","","Jimmy Danton",755,801,"","","","","Food",35.796582,-78.709176
"","","Carnival","","","","Carnival Booth","OTHER","Scott North","SN","","Unknown",756,802,"","","","","Unknown",35.795958,-78.709169
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Game",757,803,"","","","","Game",35.796611,-78.709669
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Unknown",758,804,"","","","","Unknown",35.796646,-78.709841
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Game",759,805,"","","","","Game",35.795518,-78.710679
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",760,806,"","","","","Game",35.795848,-78.711503
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",761,807,"","","","","Game",35.796032,-78.712063
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Unknown",762,808,"","","","","Unknown",35.796996,-78.712806
"","","Carnival","","","","Carnival Booth","F&D","Midway","MW","","Candy",763,809,"","","","","Candy",35.796648,-78.712146
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Customer Service",764,810,"","","","","Information",35.796526,-78.711702
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland West","KW","","Game",765,811,"","","","","Game",35.794826,-78.708993
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",766,812,"","","","","Game",35.794485,-78.714742
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",767,813,"","","","","Game",35.794777,-78.713668
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",768,814,"","","","","Game",35.794744,-78.713168
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",769,815,"","","","","Game",35.794855,-78.713037
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",770,816,"","","","","Game",35.794878,-78.712803
"","","Carnival","","","","Carnival Booth","WAKE","Old Midway","OM","","Monroe Harvell",771,817,"","","","","Food",35.794788,-78.712556
"","","Carnival","","","","Carnival Booth","F&D","Old Midway","OM","","Powers Ice Cream ",772,818,"","","","","Candy",35.794909,-78.712473
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",773,819,"","","","","Game",35.794731,-78.712686
"","","Jill Wells Dinner","","","","Carnival Booth","WAKE","C Lot","CL","","Jill Wells Dinner",774,820,"Hot Dogs, Corn Dogs, Chili Dogs, Steak, Chicken, Philly, Hamburgers, French Fries, Italian Sausage, Drinks ","","","","Food",35.794783,-78.711831
"","","Carnival","","","","Carnival Booth","OTHER","C Lot","CL","","Carnival",775,821,"","","","","Novelties",35.794693,-78.711798
"","","Carnival","","","","Carnival Booth","WAKE","Midway East","MWE","","Jimmy Danton",776,822,"Pizza, Stromboli, Soda, Pretzels, Water ","","","","Food",35.795042,-78.710899
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland East","KE","","Game",777,823,"","","","","Game",35.794956,-78.708439
"","","Carnival","","","","Carnival Booth","OTHER","Scott North","SN","","Carnival",778,824,"","","","","Unknown",35.795925,-78.709086
"","","Carnival","","","","Carnival Booth","OTHER","Scott South","SS","","Carnival",779,825,"","","","","Unknown",35.795969,-78.708803
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Game",780,826,"","","","","Game",35.797075,-78.710106
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Unknown",781,827,"","","","","Unknown",35.796971,-78.709373
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",782,828,"","","","","Game",35.797017,-78.712528
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",783,829,"","","","","Game",35.796485,-78.71068
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",784,830,"","","","","Game",35.796524,-78.710774
"","","Carnival","","","","Carnival Booth","OTHER","Midway","NW","","Game",785,831,"","","","","Game",35.796814,-78.711558
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Unknown",786,832,"","","","","Attraction",35.796806,-78.712826
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Unknown",787,833,"","","","","Attraction",35.796863,-78.712114
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",788,834,"","","","","Game",35.794747,-78.712959
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Tickets",789,835,"","","","","Tickets",35.796823,-78.709309
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Unknown",790,836,"","","","","Unknown",35.796812,-78.710275
"","","Carnival","","","","Carnival Booth","F&D","Midway East","MWE","","J Danton",791,837,"","","","","Candy",35.795423,-78.710072
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",792,838,"","","","","Game",35.794529,-78.714625
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",793,839,"","","","","Game",35.796838,-78.711996
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland West","KW","","Game",794,840,"","","","","Game",35.794533,-78.709437
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland East","KE","","Game",795,841,"","","","","Game",35.794992,-78.708345
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",796,842,"","","","","Unknown",35.796175,-78.712506
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",797,843,"","","","","Unknown",35.796582,-78.711308
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",798,844,"","","","","Unknown",35.796555,-78.711226
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",799,845,"","","","","Game",35.796494,-78.711059
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Water Game",800,846,"","","","","Game",35.796397,-78.710811
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",801,847,"","","","","Game",35.796363,-78.710701
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",802,848,"","","","","Game",35.796313,-78.710564
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game Of Skill",803,849,"","","","","Game",35.796192,-78.710334
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Ballon Game",804,850,"","","","","Game",35.796164,-78.710275
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",805,851,"","","","","Game",35.795936,-78.709901
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Game",806,852,"","","","","Game",35.795211,-78.710577
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Game",807,853,"","","","","Game",35.795278,-78.710503
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Big Game",808,854,"","","","","Game",35.795347,-78.710338
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Water Game",809,855,"","","","","Game",35.795419,-78.710211
"","","Carnival","","","","Carnival Booth","OTHER","Midway East","MWE","","Air Brush",810,856,"","","","","Novelties",35.795398,-78.710279
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",811,857,"","","","","Game",35.795528,-78.710252
"","","Carnival","","","","Carnival Booth","F&D","","MWE","","Cotton Candy",812,858,"Cotton Candy","","","","Candy",35.795477,-78.710348
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",813,859,"","","","","Unknown",35.795989,-78.709974
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Air Brush",814,860,"","","","","Novelties",35.79566,-78.71098
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Muesum Of Oddity",815,861,"","","","","Attraction",35.795707,-78.711069
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",816,862,"","","","","Game",35.795767,-78.71127
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Green",817,863,"","","","","Game",35.795738,-78.711222
"","","Carnival","","","","Carnival Booth","OTHER","Scott South","SS","","Carnival",818,864,"","","","","Unknown",35.795841,-78.708702
"","","Carnival","","","","Carnival Booth","OTHER","Scott North","SN","","Game",819,866,"","","","","Game",35.79617,-78.708925
"","","Carnival","","","","Carnival Booth","OTHER","Scott North","SN","","Game",820,867,"","","","","Game",35.796369,-78.708952
"","","Carnival","","","","Carnival Booth","OTHER","Scott North","SN","","Game",821,868,"","","","","Game",35.796301,-78.709033
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",822,869,"","","","","Unknown",35.796291,-78.709094
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Game",823,870,"","","","","Game",35.797069,-78.709532
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Game",824,871,"","","","","Air Brush",35.797057,-78.7098
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Game",825,872,"","","","","Game",35.797011,-78.709946
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",826,873,"","","","","Game",35.794769,-78.713537
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",827,874,"","","","","Game",35.79478,-78.713902
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",828,875,"","","","","Game",35.794849,-78.712937
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",829,876,"","","","","Game",35.794861,-78.713283
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",830,877,"","","","","Game",35.794867,-78.713403
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",831,878,"","","","","Game",35.794869,-78.713484
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",832,879,"","","","","Game",35.794876,-78.713557
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",833,880,"","","","","Game",35.794898,-78.713654
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",834,881,"","","","","Game",35.794907,-78.713767
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",835,882,"","","","","Game",35.794904,-78.713886
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","OM","","Game",836,883,"","","","","Game",35.794869,-78.713152
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Unknown",837,884,"","","","","Unknown",35.796709,-78.713007
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",838,885,"","","","","Game",35.796808,-78.712981
"","","Carnival","","","","Carnival Booth","WAKE","Midway","MW","","Carnival",839,886,"","","","","Candy",35.796899,-78.71292
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Unknown",840,887,"","","","","Unknown",35.797023,-78.712712
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",841,888,"","","","","Game",35.79698,-78.712392
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Souvenirs",842,889,"","","","","Novelties",35.796907,-78.712189
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Guest Relations",843,890,"","","","","Unknown",35.796623,-78.711861
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",844,891,"","","","","Game",35.796768,-78.711344
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",845,892,"","","","","Game",35.796714,-78.711285
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Vickies Game",846,893,"","","","","Game",35.796481,-78.710532
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",847,894,"","","","","Game",35.796578,-78.710879
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",848,895,"","","","","Game",35.796607,-78.71103
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",849,896,"","","","","Game",35.79666,-78.71113
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",850,897,"","","","","Game",35.796692,-78.711196
"","","Carnival","","","","Carnival Booth","F&D","Midway","MW","","Cotton Candy",851,898,"Cotton Candy","","","","Candy",35.795628,-78.710523
"","","Carnival","","","","Carnival Booth","WAKE","Midway","MW","","Frank O'Rouke",852,899,"","","","","Food",35.795674,-78.710644
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",853,900,"","","","","Game",35.795753,-78.71087
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",854,901,"","","","","Game",35.795824,-78.711075
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",855,902,"","","","","Game",35.795899,-78.711324
"","","Carnival","","","","Carnival Booth","OTHER","Midway","MW","","Game",856,903,"","","","","Game",35.795987,-78.711547
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",857,904,"","","","","Unknown",35.796115,-78.711915
"","","Carnival","","","","Carnival Booth","F&D","Midway","MW","","Game",858,905,"","","","","Game",35.796403,-78.712742
"","","Carnival","","","","Carnival Booth","F&D","Midway","MW","","Cotton Candy",859,906,"Cotton Candy","","","","Food",35.796456,-78.712843
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland West","KW","","Game",860,908,"","","","","Game",35.794684,-78.709077
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland West","KW","","Game",861,909,"","","","","Game",35.794642,-78.709182
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland West","KW","","Game",862,910,"","","","","Game",35.794567,-78.70935
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland West","KW","","Game",863,911,"","","","","Game",35.794602,-78.709275
"","","Carnival","","","","Carnival Booth","OTHER","Kiddieland West","KW","","Game",864,912,"","","","","Game",35.794487,-78.709551
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",865,913,"","","","","Unknown",35.796954,-78.710082
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",866,914,"","","","","Unknown",35.79679,-78.710179
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",867,915,"","","","","Unknown",35.796704,-78.709115
"","","Carnival","","","","Carnival Booth","OTHER","Old Midway","","","Unknown",868,917,"","","","","Unknown",35.794688,-78.712821
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",869,918,"","","","","Game",35.795804,-78.711434
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",870,919,"","","","","Unknown",35.795564,-78.710718
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",871,920,"","","","","Unknown",35.796273,-78.712363
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",872,921,"","","","","Game",35.79632,-78.712503
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",873,922,"","","","","Game",35.794565,-78.714528
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",874,923,"","","","","Game",35.794671,-78.714251
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",875,924,"","","","","Game",35.794615,-78.714425
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",876,925,"","","","","Unknown",35.794879,-78.709119
"","","Carnival","","","","Carnival Booth","OTHER","","","","Unknown",877,926,"","","","","Unknown",35.794842,-78.709044
"","","Carnival","","","","Carnival Booth","OTHER","Coleman Hill","CH","","Unknown",878,927,"","","","","Unknown",35.796681,-78.709722
"","","Normant Candy Co","63 X 7","","","Stockyard","F&D","Graham/Dorton","E","Page 6","Normant",879,928,"","","","","",35.794085,-78.711562
"","","B. Tellone","32 X 8","","","Stockyard","F&D","Graham/Dorton","E","Page 6","Jungle Juice",880,929,"","","","","",35.793956,-78.711478
"","","Katering Inc.Paul W Kane","22 X 8","","","Stockyard","WAKE","Graham/Dorton","E","Page 6","Katering Powell",881,930,"","","","","",35.794129,-78.711559
"","","Katering Inc.Paul W Kane","55 X 8","","","Stockyard","WAKE","Graham/Dorton","E","Page 6","Katering Powell",882,931,"","","","","",35.794014,-78.711476
"","919-622-4792","Fontana Foods","42 X 8","","","Stockyard","WAKE","Graham/Dorton","E","Page 6","Fontana",883,932,"","","","","",35.793746,-78.711307
"","","Rudy","32 X 7","","","Stockyard","WAKE","Graham/Dorton","E","Page 6","Rudy",884,933,"","","","","",35.793824,-78.71136
"","","Pinson","50 X 8","","","Stockyard","OTHER","Stockyard","","Page 21","Pinson",885,934,"","","","","",35.797478,-78.711533
"","","Pinson","20 X 7","","","Stockyard","OTHER","Stockyard","","Page 21","Pinson",886,935,"","","","","",35.797588,-78.711528
"","","Pinson","15 X 9","","","Stockyard","OTHER","Stockyard","","Page 21","Pinson",887,936,"","","","","",35.797487,-78.711577
"","","Pinson","25 X 8","","","Stockyard","OTHER","Stockyard","","Page 21","Pinson",888,937,"","","","","",35.79741,-78.711584
"","","Pinson","21 X 7","","","Stockyard","OTHER","Stockyard","","Page 21","Pinson",889,938,"","","","","",35.79759,-78.71156
"","","Mcbride","32 X 8","","","Stockyard","WAKE","Stockyard","","Page 21","Mcbride",890,939,"","","","","",35.797569,-78.711779
"","","Mcbride","27 X 8","","","Stockyard","WAKE","Stockyard","","Page 21","Mcbride",891,940,"","","","","",35.797587,-78.711653
"TIM SAYON","919-923-9005","Green Enterprise","11 X 7","","VENDOR - GREEN ENTERPRISES","Stockyard","M&P","Stockyard","","Page 21","Green Enterprise",892,941,"Vendor - Meats Products","","","","",35.797493,-78.711789
"","","Mcbride","32 X 8","","","Stockyard","F&D","Stockyard","","Page 21","Mcbride",893,942,"","","","","",35.79759,-78.711703
"","","Jesse Jones LLC","48 X 8","","VENDOR - JESSE JONES","Stockyard","M&P","Stockyard","","Page 21","Jesse Jones",894,943,"Jesse Jones Hot Dogs, Chili,  Sausage, Corn Dogs, Stevens Sausage Products (Sausage & Country Ham)","","","","",35.797531,-78.711857
